index,title,reviews,recommends(%),authors,publisher,price_n,price_r
"286","有钱人和你想的不一样（2020版，教会你有钱人和穷人不一样的17种思考方式和行为）","117004","99.9","哈维・艾克","湖南文艺出版社","17.50","45.00"
"287","终身成长：重新定义成功的思维模式","276595","100","卡罗尔・德韦克","江西人民出版社","24.90","49.80"
"288","宫西达也恐龙系列全套7册（你看起来好像很好吃+我是霸王龙等）","504513","100","宫西达也","２１世纪出版社","63.00","126.00"
"289","变量4：大国的腾挪（熬过去，就是海阔天空！看智慧的中国人如何腾挪自如、走出困境）","17572","99.9","何帆","新星出版社","54.50","69.00"
"290","少有人走的路：心智成熟的旅程（白金升级版）","177001","100","M.斯科特・派克","北京联合出版有限公司","23.10","42.00"
"291","哈利・波特与“混血王子”  (平装)（《语文》教材推荐阅读书目，外国儿童文学经典，新英国版封面平装版，正版畅销）","83132","99.9","J.K.罗琳","人民文学出版社","44.70","72.00"
"292","天局《人民的名义》多次提及的神秘之书，剧情重要线索。","47932","99.8","矫健","作家出版社","27.30","38.00"
"293","大侦探福尔摩斯（第1辑）（全6册）","148078","100","柯南・道尔","湖北教育出版社","57.00","114.00"
"294","罪全书7（人气悬疑作家蜘蛛，暌违四年新作！）","8035","99.9","蜘蛛","上海文化出版社","27.40","49.80"
"295","小羊上山儿童汉语分级读物（第1级、2级、3级）(30册套装)","10945","100","孙蓓","人民邮电出版社","227.00","454.00"
"296","秘密 （日本读者票选东野作品第 2名，仅次于《白夜行》）","417967","98.6","东野圭吾","南海出版公司","22.50","45.00"
"297","大语文那些事儿（全6册）大语文时代，得语文者得天下。字词、作文、阅读、古诗、古文一网打尽。","83356","100","赵旭","北京理工大学出版社","90.00","180.00"
"298","米小圈漫画成语（第一辑）（套装共5册）","482487","100","北猫","四川少儿出版社","50.00","100.00"
"299","水浒传（上下册，全两册，中国古典文学读本丛书）（团购电话:400-1066666转6）","231011","99.4","施耐庵","人民文学出版社","29.30","50.60"
"300","你想活出怎样的人生（宫崎骏从10岁读到70岁的小说，同名电影制作中，登顶日本2018图书总榜）","207473","100","吉野源三郎","南海出版公司","24.70","49.50"
"301","父母的语言：3000万词汇塑造更强大的学习型大脑","213513","100","达娜・萨斯金德","机械工业出版社","35.40","59.00"
"302","暖房子・屁屁侦探系列（套装共7册）","65472","100","Troll","海豚出版社","59.80","115.00"
"303","绝叫（罗翔推荐，长达四十年的恶女编年史，日本文学社会派推理小说 同名日剧《绝叫》原著）","45093","99.9","叶真中显","北京联合出版有限公司","29.00","58.00"
"304","也许你该找个人聊聊（入选2021豆瓣受关注图书榜、新京报年度阅读推荐榜；心理学泰斗欧文・亚隆推荐，心理学家李松蔚审校并作序）","45365","100","洛莉・戈特利布","上海文化出版社","39.90","68.00"
"305","狐狸侦探系列（3册）","14039","100","弗朗齐斯卡・比尔曼","接力出版社","77.80","105.00"
"306","我喜欢自己――邓超微博推荐的绘本 带给孩子更多勇气和自信的绘本！","415997","99.5","卡尔森","河北教育出版社","17.90","35.80"
"307","神奇校车・动画版（全10册）","524004","99.8","乔安娜柯尔","贵州人民出版社","59.00","118.00"
"308","她来自马里乌波尔","6642","100","娜塔莎�B沃丁","新星出版社","43.50","58.00"
"309","速成围棋 入门篇 上","22552","99.8","黄焰","青岛出版社","12.50","25.00"
"310","雪国（川端康成诺贝尔文学奖获奖作，全新精装典藏版）","363418","99.8","川端康成","南海出版公司","24.50","49.00"
"311","克拉拉与太阳（比尔・盖茨2021年度书单，诺贝尔文学奖得主石黑一雄新书）","48215","99.9","石黑一雄","上海译文出版社","55.60","68.00"
"312","从你的全世界路过：修订本（张嘉佳亲笔签名版与普通版本随机发送）","1119749","99.7","张嘉佳","湖南文艺出版社","22.50","45.00"
"313","哈利・波特与火焰杯  (平装)（《语文》教材推荐阅读书目，外国儿童文学经典，新英国版封面平装版）","84119","99.9","J.K.罗琳","人民文学出版社","42.20","68.00"
"314","夏日终曲（第90届奥斯卡获奖电影《请以你的名字呼唤我》原著小说，获最佳改编剧本奖）","152430","100","安德烈・艾席蒙","外语教学与研究出版社","28.70","39.90"
"315","他最野了（全2册）曲小蛐代表作","65000","100","曲小蛐","江苏凤凰文艺出版社","46.80","68.00"
"316","他和她的猫（随机发货，当当专享定制甜蜜3D变幻卡，“唧唧的猫”甜蜜电竞题材作品，随书赠送书签、明信片、一封寄给周荡的神秘来信及信封）","75824","99.9","唧唧的猫","江苏凤凰文艺出版社","17.50","35.00"
"317","心流：最优体验心理学","95732","100","米哈里・契克森米哈赖","中信出版社","33.80","49.00"
