index,title,reviews,recommends,authors,price_n,price_r
"123","画给孩子的二十四节气 : 精装彩绘本（中国第五大发明，非物质文化遗产）","53713条评论","100%推荐","施英巍","吉林美术出版社","40.00","58.00"
"124","海蒂怀孕大百科（全新第5版，  百万育儿大V大J小D、年糕妈妈推荐！）","67689条评论","99.9%推荐","海蒂・麦考夫","南海出版公司","34.00","68.00"
"125","刀锋（“故事高手”毛姆晚年重要作品，兰登书屋典藏本全文翻译）","8301条评论","99.9%推荐","毛姆","江西人民出版社","18.00","36.00"
"126","复活（精装大开本，托尔斯泰三部曲之一，草婴翻译，无删节全译本）","33187条评论","99.9%推荐","列夫・托尔斯泰","时代文艺出版社","34.30","73.00"
"127","原来懂比爱更重要（入选壹心理“心理学影响力50人”的丛非从代表作，致想爱却不敢爱、敢爱却不懂爱的你）","4961条评论","99.9%推荐","丛非从","世界图书出版公司","24.50","49.00"
"128","也许你该找个人聊聊（入选2021豆瓣受关注图书榜、新京报年度阅读推荐榜；心理学泰斗欧文・亚隆推荐，心理学家李松蔚审校并作序）","37636条评论","100%推荐","洛莉・戈特利布","上海文化出版社","39.90","68.00"
"129","逻辑学入门：清晰思考、理性生活的88个逻辑学常识","44243条评论","100%推荐","格桑","中国纺织出版社","40.70","42.80"
"130","晚熟的人（莫言新书）","302586条评论","100%推荐","莫言","人民文学出版社","44.20","59.00"
"131","二十四节气自然绘本 让孩子了解自然的瞬息万变 科普百科绘本","152498条评论","100%推荐","肖克之","北京联合出版有限公司","67.90","79.90"
"132","世界上最棒的礼物――图画中隐藏无数细节，让小小孩玩过瘾！","112992条评论","100%推荐","赖马","北京联合出版有限公司","22.90","45.80"
"133","东野圭吾：解忧杂货店（胡歌、王俊凯、刘昊然倾情推荐，简体中文1000万册纪念版）","2446363条评论","99.7%推荐","东野圭吾","南海出版公司","44.20","59.00"
"134","厚黑学全集（足本典藏版，林语堂、南怀瑾、柏杨、李敖历经沉浮，感悟作序）","106692条评论","99.8%推荐","李宗吾","中国友谊出版公司","13.20","29.80"
"135","沧浪之水（某瓣8.5分，入围茅盾文学奖。职场小白、考公人的启蒙之书。2021版）","95017条评论","99.6%推荐","阎真","北京十月文艺出版社","24.50","49.00"
"136","阅读是一座随身携带的避难所（罗翔推荐版本。“阅读应该是愉悦的，怎么思考就有怎么样的人生”。）","37493条评论","100%推荐","毛姆","江西人民出版社","21.00","42.00"
"137","外婆的道歉信（外婆说，要大笑要做梦要与众不同。人生是一场伟大的冒险。销量突破100万册。随书附赠一封神秘道歉信）","566415条评论","99.9%推荐","弗雷德里克・巴克曼","天津人民出版社","29.00","42.00"
"138","古文观止（上下册，原文+导读+注释+翻译，特别适合青少年）","258746条评论","99.9%推荐","吴楚材","浙江教育出版社","24.40","52.00"
"139","围城","1168768条评论","99.8%推荐","钱钟书","人民文学出版社","30.80","39.00"
"140","古代人的日常生活2（典藏版）（古代房价高吗？古人如何抗疫？古人如何学外语？一本书满足你对古人日常生活的全部好奇！）","37047条评论","100%推荐","讲历史的王老师","江苏凤凰文艺出版社","37.90","75.90"
"141","明朝那些事儿增补版.全集（全新印签版）","352260条评论","99.9%推荐","当年明月","北京联合出版有限公司","393.00","405.00"
"142","bibi动物园：忍不住想打扰你（当当专享作者签章本，超人气原创治愈小漫画！随手一翻，嘴角一弯。2100万人点赞，阅读量超5亿！）","55496条评论","100%推荐","bibi","南海出版公司","35.20","49.00"
"143","小兔子学花钱系列・3~7岁孩子的财商启蒙绘本（全3册）（学花钱、学赚钱、学存钱，3岁对钱有概念，7岁会管零花钱！）","140851条评论","100%推荐","辛德斯・麦克劳德","河南文艺出版社","57.80","128.40"
"144","非暴力沟通（修订版）","681409条评论","100%推荐","马歇尔","华夏出版社","44.80","59.80"
"145","心理抚养","54060条评论","100%推荐","李玫瑾","上海三联书店","21.00","46.80"
"146","雪国（川端康成诺贝尔文学奖获奖作，全新精装典藏版）","361595条评论","99.8%推荐","川端康成","南海出版公司","24.50","49.00"
"147","小熊宝宝绘本（简装全15册）蒲蒲兰经典绘本！新手妈妈的育儿宝典！(0-3岁)","1003740条评论","99.7%推荐","佐佐木洋子","新世纪出版社","48.00","96.00"
"148","房思琪的初恋乐园 （豆瓣9.2高分！数百万读者强烈共鸣的文学绝唱）","466008条评论","100%推荐","林奕含","北京联合出版有限公司","42.80","45.00"
"149","男孩百科--优秀男孩的学习妙招","17188条评论","100%推荐","彭凡","化学工业出版社","13.80","25.00"
"150","东野圭吾：我的老师是侦探","82497条评论","100%推荐","东野圭吾","南海出版公司","19.75","39.50"
"151","窄门(我们所追求的幸福,究竟是来自于我们真正的内心?还是外界的定义?《窄门》会给你答案)","10800条评论","99.9%推荐","安德烈・纪德","民主与建设出版社","34.40","49.80"
